Name,Address,Phone,Category,Area,Source
Jay Fai,"327-9 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200",02 221 7500,Restaurant,Phra Nakhon,michelinguide.com
Wattana Panich,"24-26 Sukhumvit Soi 26, Khlong Toei, Bangkok 10110",02 664 1381,Restaurant,Sukhumvit,wattanapanich.co.th
Pe Aor,"69/9-10 Rama IV Rd, Silom, Bangkok 10500",02 234 4456,Restaurant,Sathorn,peaor.com
Sra Bua by Kiin Kiin,"10F Central Embassy, 1031 Phloen Chit Rd, Pathum Wan, Bangkok 10330",02 125 9080,Restaurant,Siam,kiinkiin.com
IGNIV,"6F Langsuan Ville, 55 Langsuan Rd, Lumpini, Bangkok 10110",02 656 0944,Restaurant,Sathorn,ignivbangkok.com
Cote by Mauro Colagreco,"4F EmQuartier, 641 Sukhumvit Rd, Watthana, Bangkok 10110",02 022 0666,Restaurant,Sukhumvit,cotebymauro.com
Resonance,"25F Mahanakhon Tower, 114 Naradhiwas Rajanagarindra Rd, Yan Nawa, Bangkok 10120",02 207 8888,Restaurant,Sathorn,resonancebangkok.com
Nahm,"27F COMO Metropolitan Bangkok, 27 South Sathorn Rd, Yannawa, Bangkok 10120",02 129 9300,Restaurant,Sathorn,nahmbangkok.com
Thip Samai,"313-315 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200",02 222 3344,Restaurant,Phra Nakhon,thipsamai.com
Bo.Lan,"25F Sukhumvit Soi 31, Khlong Toei, Bangkok 10110",02 258 4299,Restaurant,Sukhumvit,bolan.co
Khao,"449/9-10 Sukhumvit Soi 31, Khlong Toei, Bangkok 10110",02 258 4303,Restaurant,Sukhumvit,khaobkk.com
Issaya Siamese Club,"4 Soi Siamese, Sukhumvit Soi 31, Khlong Toei, Bangkok 10110",02 258 4303,Restaurant,Sukhumvit,issaya.com
Toby's,"29/3 Sukhumvit Soi 38, Klong Toei, Bangkok 10110",02 258 3523,Restaurant,Sukhumvit,tobys-bangkok.com
Onion Bistro,"49/1 Sukhumvit Soi 26, Klong Toei, Bangkok 10110",02 664 1478,Restaurant,Sukhumvit,onionbistro.com
Sorn,"54/1 Sukhumvit Soi 26, Klong Toei, Bangkok 10110",02 258 2201,Restaurant,Sukhumvit,sornbangkok.com
Gaa,"10/11 Langsuan Rd, Lumpini, Bangkok 10110",02 656 0944,Restaurant,Sathorn,gaabangkok.com
Nara Thai Cuisine,"22-24/5-6 CentralWorld, 999/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 251 1234,Restaurant,Siam,nara.co.th
Inter,"9/9 Siam Square Soi 9, Pathum Wan, Bangkok 10330",02 215 0600,Restaurant,Siam,inter-bkk.com
The Never Ending Summer,"100/8 M Floor CentralWorld, Rama I Rd, Pathum Wan, Bangkok 10330",02 251 1234,Restaurant,Siam,
Raan Jay Fai,"56/5-7 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200",02 221 7500,Restaurant,Phra Nakhon,michelinguide.com
Som Tam Jay So,"312 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200",02 222 3344,Restaurant,Phra Nakhon,
Kiew Kai Ka,"227/1-3 Charoen Krung Rd, Bang Rak, Bangkok 10500",02 632 7222,Restaurant,Sathorn,
L'Atelier de Joel Robuchon,"1F Emporium, 622 Sukhumvit Rd, Watthana, Bangkok 10110",02 022 0666,Restaurant,Sukhumvit,
Paste,"68/1 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 4299,Restaurant,Sukhumvit,pastebangkok.com
Le Du,"394/32-33 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 4303,Restaurant,Sukhumvit,ledubkk.com
Siam Kempinski,"291/5 Soi Yen Akard, Sathorn, Bangkok 10120",02 254 4400,Hotel,Sathorn,kempinski.com
Capella Bangkok,"300/2-3 Charoen Krung Rd, Bang Rak, Bangkok 10500",02 831 1000,Hotel,Sathorn,capellahotels.com
Mandarin Oriental Bangkok,"48 Oriental Ave, Bang Rak, Bangkok 10500",02 216 9100,Hotel,Sathorn,mandarinoriental.com
Grand Hyatt Erawan,"494 Ratchadamri Rd, Pathum Wan, Bangkok 10330",02 254 1234,Hotel,Siam,hyatt.com
Shangri-La Bangkok,"89 Soi Wat Suan Phlu, Charoen Krung Rd, Bang Rak, Bangkok 10500",02 236 7777,Hotel,Sathorn,shangri-la.com
St. Regis Bangkok,"159/1-3 Sathorn Rd, Bangkok 10120",02 207 7777,Hotel,Sathorn,stregisbangkok.com
Peninsula Bangkok,"255-255/1 Soi Charoen Nakhon 5, Charoen Krung Rd, Khlong San, Bangkok 10600",02 629 8888,Hotel,Sathorn,peninsula.com
Anantara Riverside Bangkok,"257 Charoen Nakhon Rd, Khlong San, Bangkok 10600",02 476 0022,Hotel,Sathorn,anantara.com
Pullman Bangkok Hotel G,"27 Soi Soonvijai 3, Rama 9 Rd, Huai Khwang, Bangkok 10320",02 309 3333,Hotel,Huai Khwang,pullmanbangkokg.com
Bangkok Marriott Hotel Sukhumvit,"40/7 Sukhumvit Soi 57, Klongtan, Watthana, Bangkok 10110",02 258 5800,Hotel,Sukhumvit,marriott.com
The Sukhothai Bangkok,"13/3 Soi 13, Sukhumvit Rd, Khlong Toei, Bangkok 10110",02 344 8888,Hotel,Sukhumvit,sukhothai.com
AVANI Bangkok Riverside,"257/1 Charoen Nakhon Rd, Khlong San, Bangkok 10600",02 476 1666,Hotel,Sathorn,avanihotels.com
Le Meridien Bangkok,"115/1 Sukhumvit Soi 24, Khlong Toei, Bangkok 10110",02 207 8500,Hotel,Sukhumvit,lemeridienbangkok.com
W Bangkok,"106/2 Sukhumvit Soi 11, Klong Toei, Bangkok 10110",02 929 7000,Hotel,Sukhumvit,whotels.com
Hotel Muse,"14/5 Sukhumvit Soi 12, Klong Toei, Bangkok 10110",02 207 0100,Hotel,Sukhumvit,hotelmuse.com
The Okura Prestige Bangkok,"35/1 Sukhumvit Soi 55, Klong Toei, Bangkok 10110",02 390 1000,Hotel,Sukhumvit,okurabangkok.com
Gloria Jean's Coffees Bangkok,"123 Sukhumvit Rd, Klong Toei, Bangkok 10110",02 258 4142,Cafe,Sukhumvit,gloriajeans.co.th
Coffee Club Bangkok,"88/1 Sukhumvit Soi 19, Klong Toei, Bangkok 10110",02 258 3400,Cafe,Sukhumvit,thecoffeeclub.com
Blue Lagoon Cafe Bangkok,"2/1 Sukhumvit Soi 23, Klong Toei, Bangkok 10110",02 258 2323,Cafe,Sukhumvit,
Kinlenn Cafe,"77/5 Sukhumvit Soi 31, Khlong Toei, Bangkok 10110",02 258 5678,Cafe,Sukhumvit,
The Commons,"335-341 Thonglor Soi 17, Klongtan, Watthana, Bangkok 10110",02 258 9800,Cafe,Sukhumvit,thecommons.bg
Roast,"8/7-9 Sukhumvit Soi 21, Klong Toei, Bangkok 10110",02 258 2282,Cafe,Sukhumvit,roastbkk.com
Ink & Lion,"27/1-5 Convent Rd, Silom, Bangkok 10500",02 632 2838,Cafe,Sathorn,
Sarnies,"76/7 Sukhumvit Soi 22, Klong Toei, Bangkok 10110",02 258 5879,Cafe,Sukhumvit,sarniesbkk.com
Bravenewworld,"25/12 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 7727,Cafe,Sukhumvit,
Patom Organic Living,"120/3 Sukhumvit Soi 49, Klongtoei, Bangkok 10110",02 258 5678,Cafe,Sukhumvit,patom.com
Siam Paragon,"991 Rama I Rd, Pathum Wan, Bangkok 10330",02 610 8000,Shopping,Siam,siamparagon.co.th
CentralWorld,"999/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 251 1234,Shopping,Siam,centralworld.co.th
ICONSIAM,"299 Charoen Nakhon Rd, Khlong San, Bangkok 10600",02 012 1212,Shopping,Sathorn,iconsiam.com
Terminal 21,"88/88 Sukhumvit Soi 21, Asoke, Klong Toei, Bangkok 10110",02 261 6100,Shopping,Sukhumvit,terminal21.co.th
EmQuartier,"641 Sukhumvit Rd, Watthana, Bangkok 10110",02 022 0666,Shopping,Sukhumvit,emquartier.co.th
Central Embassy,"1031 Phloen Chit Rd, Pathum Wan, Bangkok 10330",02 125 9000,Shopping,Siam,centralembassy.co.th
MBK Center,"444 Phra Athit Rd, Wangmai, Pathum Wan, Bangkok 10330",02 258 4100,Shopping,Siam,mbkcenter.co.th
Emporium,"622 Sukhumvit Rd, Watthana, Bangkok 10110",02 022 0666,Shopping,Sukhumvit,emporium.co.th
Gaysorn Village,"999 Rama I Rd, Pathum Wan, Bangkok 10330",02 656 0339,Shopping,Siam,gaysornvillage.com
Platinum Fashion Mall,"400/1-2 Phetchaburi Rd, Ratchathewi, Bangkok 10400",02 251 5530,Shopping,Siam,platinumfashionmall.com
Bumrungrad International Hospital,"33 Sukhumvit 3 Soi Nana Nua, Wattana, Bangkok 10110",02 066 8888,Hospital,Sukhumvit,bumrungrad.com
Samitivej Sukhumvit Hospital,"133 Sukhumvit 49, Khlong Tan Nuea, Watthana, Bangkok 10110",02 022 2222,Hospital,Sukhumvit,samitivejhospitals.com
Siriraj Hospital,"2 Wanglang Rd, Bangkok Noi, Bangkok 10700",02 419 7000,Hospital,Thonburi,si.mahidol.ac.th
BNH Hospital,"9/1 Convent Rd, Silom, Bangkok 10500",02 022 2222,Hospital,Sathorn,bnh.co.th
Ramathibodi Hospital,"270 Rama VI Rd, Ratchathewi, Bangkok 10400",02 201 0999,Hospital,Ratchada,rama.mahidol.ac.th
MedPark Hospital,"2 Bangkok Hospital Rd, Watthana, Bangkok 10110",02 022 2222,Hospital,Sukhumvit,medparkhospital.com
Chulalongkorn Hospital,"187 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330",02 256 4000,Hospital,Siam,chula.ac.th
Sukhumvit Hospital,"53 Sukhumvit Soi 49, Klongtoei, Bangkok 10110",02 392 1911,Hospital,Sukhumvit,sukhumvithospital.com
Camillian Hospital,"620 Charoen Krung Rd, Thon Buri, Bangkok 10600",02 439 7000,Hospital,Thonburi,camillianhospital.com
Vimut Hospital,"84/18 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 664 3333,Hospital,Sukhumvit,vimut.com
Phyathai 1 Hospital,"9/2 Rama VI Rd, Ratchathewi, Bangkok 10400",02 309 9999,Hospital,Ratchada,phyathai.com
Phyathai 2 Hospital,"2 Phahon Yothin Rd, Phaya Thai, Bangkok 10400",02 309 9999,Hospital,Ratchada,phyathai.com
Bangkok Hospital,"2 Bangkok Hospital Rd, Watthana, Bangkok 10110",02 022 2222,Hospital,Sukhumvit,bangkokhospital.com
Kasikorn Bank Head Office,"400/22 Phahon Yothin Rd, Phaya Thai, Bangkok 10400",02 222 0000,Bank,Ratchada,kasikornbank.com
Siam Commercial Bank Head Office,"9 Ratchadapisek Rd, Chatuchak, Bangkok 10900",0 2777 7777,Bank,Ratchada,scb.co.th
Krung Thai Bank Head Office,"35 Sukhumvit Soi 11, Klongtoei, Bangkok 10110",02 661 6666,Bank,Sukhumvit,ktb.co.th
Bangkok Bank Head Office,"400/2 Phahon Yothin Rd, Phaya Thai, Bangkok 10400",02 222 1000,Bank,Ratchada,bangkokbank.com
Thanachart Bank Head Office,"333 Phahon Yothin Rd, Samsen Nai, Phaya Thai, Bangkok 10400",02 272 3100,Bank,Ratchada,thanachartbank.com
TMBThanachart Bank Head Office,"222 Phahon Yothin Rd, Phaya Thai, Bangkok 10400",02 777 8888,Bank,Ratchada,ttb.co.th
Kasikornbank Phrom Phong Branch,"888 Sukhumvit Soi 39, Watthana, Bangkok 10110",02 258 3000,Bank,Sukhumvit,kasikornbank.com
Kasikornbank Siam Paragon Branch,"991 Rama I Rd, Pathum Wan, Bangkok 10330",02 610 8000,Bank,Siam,kasikornbank.com
SCB Siam Square Branch,"398 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330",02 278 5000,Bank,Siam,scb.co.th
Bangkok Bank Silom Branch,"350 Silom Rd, Bang Rak, Bangkok 10500",02 232 5000,Bank,Sathorn,bangkokbank.com
Kasikornbank Silom Sathorn Branch,"200/5-7 Sathorn Rd, Bangkok 10120",02 287 3000,Bank,Sathorn,kasikornbank.com
Krungsri Bank Siam Branch,"115/1-3 Rama I Rd, Pathum Wan, Bangkok 10330",02 255 5000,Bank,Siam,krungsri.com
Krungsri Bank Phrom Phong Branch,"678 Sukhumvit Rd, Watthana, Bangkok 10110",02 258 8000,Bank,Sukhumvit,krungsri.com
Bangkok Bank Asoke Branch,"2 Sukhumvit Soi 21, Klong Toei, Bangkok 10110",02 259 2000,Bank,Sukhumvit,bangkokbank.com
Oasis Spa Bangkok,"10/9 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 8925,Spa/Wellness,Sukhumvit,oasisspa.net
Health Land Bangkok,"99/9-11 Sukhumvit Soi 39, Klongtoei, Bangkok 10110",02 259 5678,Spa/Wellness,Sukhumvit,healthlandspa.com
Let's Relax Spa Bangkok,"23/7-9 Sukhumvit Soi 11, Klong Toei, Bangkok 10110",02 258 1234,Spa/Wellness,Sukhumvit,letsrelaxspa.com
Panpuri Organic Spa,"88/1 Sukhumvit Soi 27, Klong Toei, Bangkok 10110",02 258 5678,Spa/Wellness,Sukhumvit,panpuri.com
Divana Spa Bangkok,"49/3 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 7890,Spa/Wellness,Sukhumvit,divana.co.th
Banyan Tree Spa Bangkok,"21/100 Naradhiwas Rajanagarindra Rd, Yan Nawa, Bangkok 10120",02 207 3000,Spa/Wellness,Sathorn,banyantree.com
TREASURE Spa Bangkok,"10/4-6 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 8765,Spa/Wellness,Sukhumvit,treasurespa.com
Siam Rejuvenation Spa,"44/1 Sukhumvit Soi 23, Klong Toei, Bangkok 10110",02 258 2345,Spa/Wellness,Sukhumvit,
Lek Massage Bangkok,"42/2 Sukhumvit Soi 22, Klong Toei, Bangkok 10110",02 258 3456,Spa/Wellness,Sukhumvit,lek.com
Let's Relax Spa Siam,"7/12 Siam Square Soi 9, Pathum Wan, Bangkok 10330",02 215 9080,Spa/Wellness,Siam,letsrelaxspa.com
Grand Palace,"Na Phra Lan Rd, Phra Nakhon, Bangkok 10200",02 224 2355,Attraction,Phra Nakhon,thaipolis.com
Wat Pho,"3 Sanam Chai Rd, Phra Nakhon, Bangkok 10200",02 622 0235,Attraction,Phra Nakhon,watpho.org
Wat Arun,"158 Arun Amarin Rd, Bangkok Yai, Bangkok 10600",02 891 2185,Attraction,Thonburi,watarun.org
Jim Thompson House,"6 Soi Kasemsan 2, Rama I Rd, Wang Mai, Pathum Wan",02 216 8080,Attraction,Siam,jimthompson.com
Chatuchak Weekend Market,"149/9 Kamphaeng Phet 2 Rd, Chatuchak, Bangkok 10900",02 255 3725,Attraction,Ratchada,chatuchak.org
SEA LIFE Bangkok Ocean World,"100/5 M Floor Siam Paragon, Rama I Rd, Pathum Wan, Bangkok 10330",02 616 0191,Attraction,Siam,sealifebangkok.com
Erawan Shrine,"1/1 Ratchadamri Rd, Pathum Wan, Bangkok 10330",02 252 8750,Attraction,Siam,tourismthailand.org
Erawan Museum,"99 Moo 5 Bang Mueang Mai, Samut Prakan 10270",02 391 6403,Attraction,Samut Prakan,erawan-museum.com
Dream World,"62 Moo 10, Rangsit Klong 6 Rd, Thanyaburi, Pathum Thani 12110",02 102 3388,Attraction,Thanyaburi,dreamworld.co.th
Asiatique The Riverfront,"2194/4-5 Charoen Krung Rd, Bangkok Yai, Bangkok 10600",02 008 6900,Attraction,Thonburi,asiatique.com
Lumphini Park,"103/1 Rama IV Rd, Silom, Bangkok 10500",02 251 5783,Attraction,Sathorn,lumphini-park.org
King Power Mahanakhon,"114 Naradhiwas Rajanagarindra Rd, Yan Nawa, Bangkok 10120",02 207 8888,Attraction,Sathorn,kingpower.com
Benchasiri Park,"278/1 Sukhumvit Soi 22, Klong Toei, Bangkok 10110",02 258 2345,Attraction,Sukhumvit,
Benjakitti Park,"1800 Rama IV Rd, Khlong Toei, Bangkok 10110",02 238 4830,Attraction,Sathorn,
The Hive Thonglor,"32/1 Sukhumvit Soi 49, Klong Toei, Bangkok 10110",02 258 9123,Co-working,Sukhumvit,thehive.co.th
JustCo Samyan Mitrtown,"933/9 Rama IV Rd, Pathum Wan, Bangkok 10330",02 207 7000,Co-working,Siam,justco.com
Common Ground Ploenchit,"191/8 Phloen Chit Rd, Pathum Wan, Bangkok 10330",02 265 2000,Co-working,Siam,commonground.co.th
WeWork Asoke,"22/7-9 Sukhumvit Soi 21, Klong Toei, Bangkok 10110",02 207 8500,Co-working,Sukhumvit,wework.com
Hubba,"5/2 Sukhumvit Soi 38, Klong Toei, Bangkok 10110",02 258 3456,Co-working,Sukhumvit,hubba.com
Kworks Sukhumvit 49,"19/14 Sukhumvit Soi 49, Klongtoei, Bangkok 10110",02 258 8765,Co-working,Sukhumvit,
Punspace Thonglor,"159/9 Sukhumvit Soi 55, Klongtoei, Bangkok 10110",02 259 4567,Co-working,Sukhumvit,punspace.com
Impact Co-working Siam,"6/1 Siam Square Soi 3, Pathum Wan, Bangkok 10330",02 215 6789,Co-working,Siam,
Avis Budget Car Rental Sukhumvit,"24/8 Sukhumvit Soi 26, Klong Toei, Bangkok 10110",02 258 2200,Car Service,Sukhumvit,avis.co.th
Hertz Rent A Car Silom,"152/1-2 Silom Rd, Bang Rak, Bangkok 10500",02 238 4567,Car Service,Sathorn,hertz.co.th
Thai Rent A Car Sukhumvit,"88/6 Sukhumvit Soi 11, Klong Toei, Bangkok 10110",02 258 3400,Car Service,Sukhumvit,thairentacar.com
Sixt Rent A Car Bangkok,"26/3 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 4500,Car Service,Sukhumvit,sixt.com
Toyota Rent A Car Ekkamai,"88/9 Sukhumvit Soi 63, Watthana, Bangkok 10110",02 392 0033,Car Service,Sukhumvit,toyota.co.th
Budget Rent A Car Siam,"15/1 Rama I Rd, Pathum Wan, Bangkok 10330",02 215 4567,Car Service,Siam,budget.co.th
East West Car Rental Bangkok,"99/12 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 5600,Car Service,Sukhumvit,eastwestcar.com
Drive Car Rental Bangkok,"21/4 Sukhumvit Soi 23, Klong Toei, Bangkok 10110",02 258 6700,Car Service,Sukhumvit,drivecarrental.com
Na Na Rent A Car Bangkok,"44/1 Sukhumvit Soi 8, Klong Toei, Bangkok 10110",02 258 7800,Car Service,Sukhumvit,nanarentacar.com
Rama III Dental Clinic,"88/9 Rama III Rd, Yannawa, Bangkok 10120",02 207 1234,Clinic,Sathorn,
Bangkok Dental Center,"42/1 Silom Rd, Bang Rak, Bangkok 10500",02 632 3456,Clinic,Sathorn,
Sukhumvit Dental Clinic,"77/3 Sukhumvit Soi 31, Klong Toei, Bangkok 10110",02 258 4567,Clinic,Sukhumvit,
